Metric,Zero-Shot,Few-Shot
BLEU,0.06949550016921378,0.04832357075456162
ROUGE-1,0.4415463926312349,0.41516236756731373
ROUGE-2,0.22554941335914702,0.2208663986087874
ROUGE-L,0.3434627866512938,0.33611454130779145
BERTScore F1,0.8895926922559738,0.8887390330433845
